Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Watchers,Watchers Id,Custom field (Actual Result),Custom field (Actual Result)_13,Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Expected Result)_14,Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Sprint_15,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Data),Custom field (Test Level),Custom field (Test Steps),Custom field (Test steps).1,Custom field (Testcase Result),Custom field (Testcase Result)_16,Custom field (Text Level),Custom field (Total forms),Custom field ([CHART] Date of First Response),Comment,Parent,Parent summary,Status Category
Deposit,BAN-12,10011,Epic,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,12/6/2022 8:27,12/6/2022 8:27,3/17/2023 15:09,,,0,,,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,,,,,,,,,,purple,,,0|i0002f:,,,,,,,,,,,,,,,,,,,,,,,To Do
EA55 - verify Edit Account - Account No must not be blank,BN-87,10225,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/10/2022 12:54,12/15/2022 7:10,3/17/2023 15:09,12/15/2022 7:09,,0,EditAccount,Account No must not be blank,Syo,62980eb8b407cc006900240b,,báo l?i,,BN-9,Edit Account,,,,báo l?i,,,,,0|i000ry:zz,,BN Sprint 1,,,,,,,,,,,,"1 không nh?p account
2 sumit",,Pass,Unit,,,,,,Done
EA55 - verify Edit Account - Account No must not be blank,BAN-96,10095,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/6/2022 9:56,12/6/2022 16:22,3/17/2023 15:09,,12/13/2022 0:00,0,EditAccount,Account No must not be blank,Syo,62980eb8b407cc006900240b,,,,,,,,,,,,,,0|i0003i:zzzzzzzzy,,BAN Sprint 1,,,,,,,,,,Unit,,,,,,,,,10008,Edit Account,To Do
EA56 - verify Edit Account - Special character are not allowed,BN-88,10226,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/10/2022 12:54,12/15/2022 7:10,3/17/2023 15:09,12/15/2022 7:10,,0,EditAccount,Special character are not allowed,Syo,62980eb8b407cc006900240b,,báo l?i,,BN-9,Edit Account,,,,báo l?i,,,,,0|i000ry:zzi,,BN Sprint 1,,,,,,,,,,,,"1 nh?p ký t? ??t bi?t
2 sumit",,Pass,Unit,,,,,,Done
EA56 - verify Edit Account - Special character are not allowed,BAN-98,10097,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/6/2022 9:57,12/6/2022 16:22,3/17/2023 15:09,,12/13/2022 0:00,0,EditAccount,Special character are not allowed,Syo,62980eb8b407cc006900240b,,,,,,,,,,,,,,0|i0003i:zzzzzzzzz,,BAN Sprint 1,,,,,,,,,,Unit,,,,,,,,,10008,Edit Account,To Do
EA57 - verify Edit Account - Characters are not allowed,BN-90,10228,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/10/2022 12:55,12/15/2022 7:09,3/17/2023 15:09,12/15/2022 7:09,,0,EditAccount, Characters are not allowed,Syo,62980eb8b407cc006900240b,,báo l?i,,BN-9,Edit Account,,,,báo l?i,,,,,0|i000ry:zzr,,BN Sprint 1,,,,,,,,,,,,"1 nh?p ký t? không ???c phép
2 sumit",,Pass,Unit,,,,,,Done
EA57 - verify Edit Account - Characters are not allowed,BAN-100,10099,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Syo,62980eb8b407cc006900240b,Syo,62980eb8b407cc006900240b,12/6/2022 9:57,12/6/2022 16:23,3/17/2023 15:09,,12/13/2022 0:00,0,EditAccount,Characters are not allowed,Syo,62980eb8b407cc006900240b,,,,,,,,,,,,,,0|i0003v:,,BAN Sprint 1,,,,,,,,,,Unit,,,,,,,,,10008,Edit Account,To Do
EC61 - Verify Edit Customer - Address - Address Field must not be blank,BN-31,10169,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Nguyen Duy Khang,638e955a489de2f7f46789a3,Nguyen Duy Khang,638e955a489de2f7f46789a3,12/10/2022 12:36,12/17/2022 13:03,3/17/2023 15:09,12/16/2022 23:53,,0,EditCustomer,Address - Address Field must not be blank,Nguyen Duy Khang,638e955a489de2f7f46789a3,,Báo l?i,,BN-7,Edit Customer,,,,Báo l?i,,,,,0|i000ry:zzzi,,BN Sprint 1,,,,,,,,,,,,"1. ?i?n ??y ?? thông tin h?p l? cho form ngo?i tr? Address.
2. ?? tr?ng th?  Address
3. ?n nút Submit.",,Pass,Unit,,,,,,Done
EC61 - Verify Edit Customer - Address - Address Field must not be blank,BAN-57,10056,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Nguyen Duy Khang,638e955a489de2f7f46789a3,Nguyen Duy Khang,638e955a489de2f7f46789a3,12/6/2022 9:41,12/6/2022 16:23,3/17/2023 15:09,,12/13/2022 0:00,0,EditCustomer,Address - Address Field must not be blank,Nguyen Duy Khang,638e955a489de2f7f46789a3,,,,,,,,,,,,,,0|i0006w:,,BAN Sprint 1,,,,,,,,,,Unit,"1

2",,,,,,,,10006,Edit Customer,To Do
EC62 - Verify Edit Customer - Address - First character can not have space,BN-34,10172,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Nguyen Duy Khang,638e955a489de2f7f46789a3,Nguyen Duy Khang,638e955a489de2f7f46789a3,12/10/2022 12:37,12/17/2022 13:04,3/17/2023 15:09,12/16/2022 23:53,,0,EditCustomer,Address - First character can not have space,Nguyen Duy Khang,638e955a489de2f7f46789a3,,Báo l?i,,BN-7,Edit Customer,,,,Báo l?i,,,,,0|i000ry:zzzr,,BN Sprint 1,,,,,,,,,,,,"1. ?i?n ??y ?? thông tin h?p l? cho form ngo?i tr? Address.
2. Nh?p thông tin th? Address có kho?ng tr?ng ??u dòng.
3. ?n nút Submit.",,Pass,Unit,,,,,,Done
EC62 - Verify Edit Customer - Address - First character can not have space,BAN-60,10059,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Nguyen Duy Khang,638e955a489de2f7f46789a3,Nguyen Duy Khang,638e955a489de2f7f46789a3,12/6/2022 9:43,12/6/2022 16:23,3/17/2023 15:09,,12/13/2022 0:00,0,EditCustomer,Address - First character can not have space,Nguyen Duy Khang,638e955a489de2f7f46789a3,,,,,,,,,,,,,,0|i0006w:i,,BAN Sprint 1,,,,,,,,,,Unit,"1

2",,,,,,,,10006,Edit Customer,To Do
EC63 - Verify Edit Customer - Address - Special characters are not allowed,BN-38,10176,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Nguyen Duy Khang,638e955a489de2f7f46789a3,Nguyen Duy Khang,638e955a489de2f7f46789a3,12/10/2022 12:38,12/17/2022 13:05,3/17/2023 15:09,12/16/2022 23:54,,0,EditCustomer,Address - Special characters are not allowed,Nguyen Duy Khang,638e955a489de2f7f46789a3,,Báo l?i,,BN-7,Edit Customer,,,,Báo l?i,,,,,0|i000ry:zzzv,,BN Sprint 1,,,,,,,,,,,,"1. ?i?n ??y ?? thông tin h?p l? cho form ngo?i tr? Address.
2. Nh?p thông tin th? Address có kí t? ??c bi?t.
3. ?n nút Submit.",,Pass,Unit,,,,,,Done
EC63 - Verify Edit Customer - Address - Special characters are not allowed,BAN-65,10064,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Nguyen Duy Khang,638e955a489de2f7f46789a3,Nguyen Duy Khang,638e955a489de2f7f46789a3,12/6/2022 9:46,12/6/2022 16:23,3/17/2023 15:09,,12/13/2022 0:00,0,EditCustomer,Address - Special characters are not allowed,Nguyen Duy Khang,638e955a489de2f7f46789a3,,,,,,,,,,,,,,0|i0006w:r,,BAN Sprint 1,,,,,,,,,,Unit,1,,,,,,,,10006,Edit Customer,To Do
EC64 - Verify Edit Customer - City - Special character are not allowed,BN-52,10190,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Nguyen Duy Khang,638e955a489de2f7f46789a3,Nguyen Duy Khang,638e955a489de2f7f46789a3,12/10/2022 12:44,12/17/2022 13:07,3/17/2023 15:09,12/16/2022 23:54,,0,EditCustomer,City - Special character are not allowed,Nguyen Duy Khang,638e955a489de2f7f46789a3,,Báo l?i,,BN-7,Edit Customer,,,,Báo l?i,,,,,0|i000ry:zzzw,,BN Sprint 1,,,,,,,,,,,,"1. ?i?n ??y ?? thông tin h?p l? cho form ngo?i tr? City.
2. Nh?p th? City có ch?a kí t? ??c bi?t.
3. ?n nút Submit.",,Pass,Unit,,,,,,Done
EC64 - Verify Edit Customer - City - Special character are not allowed,BAN-73,10072,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Nguyen Duy Khang,638e955a489de2f7f46789a3,Nguyen Duy Khang,638e955a489de2f7f46789a3,12/6/2022 9:49,12/6/2022 16:23,3/17/2023 15:09,,12/13/2022 0:00,0,EditCustomer,City - Special character are not allowed,Nguyen Duy Khang,638e955a489de2f7f46789a3,,,,,,,,,,,,,,0|i0006w:v,,BAN Sprint 1,,,,,,,,,,Unit,"1

2",,,,,,,,10006,Edit Customer,To Do
EC65 - Verify Edit Customer - City - City Field must not be blank,BN-95,10239,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Nguyen Duy Khang,638e955a489de2f7f46789a3,Nguyen Duy Khang,638e955a489de2f7f46789a3,12/10/2022 13:01,12/17/2022 13:07,3/17/2023 15:09,12/16/2022 23:54,,0,EditCustomer,City - City Field must not be blank,Nguyen Duy Khang,638e955a489de2f7f46789a3,,Báo l?i,,BN-7,Edit Customer,,,,Báo l?i,,,,,0|i000ry:zzzy,,BN Sprint 1,,,,,,,,,,,,"1. ?i?n ??y ?? thông tin h?p l? cho form
2. ?? tr?ng th? City
3. ?n nút Submit.",,Pass,Unit,,,,,,Done
EC65 - Verify Edit Customer - City - City Field must not be blank,BAN-77,10076,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Nguyen Duy Khang,638e955a489de2f7f46789a3,Nguyen Duy Khang,638e955a489de2f7f46789a3,12/6/2022 9:50,12/6/2022 16:23,3/17/2023 15:09,,12/13/2022 0:00,0,EditCustomer,City - City Field must not be blank,Nguyen Duy Khang,638e955a489de2f7f46789a3,,,,,,,,,,,,,,0|i0006w:x,,BAN Sprint 1,,,,,,,,,,Unit,"1

2",,,,,,,,10006,Edit Customer,To Do
EC66 - Verify Edit Customer - City – Numbers are not allowed,BN-96,10240,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Nguyen Duy Khang,638e955a489de2f7f46789a3,Nguyen Duy Khang,638e955a489de2f7f46789a3,12/10/2022 13:02,12/17/2022 13:08,3/17/2023 15:09,12/16/2022 23:54,,0,EditCustomer,City – Numbers are not allowed,Nguyen Duy Khang,638e955a489de2f7f46789a3,,Báo l?i,,BN-7,Edit Customer,,,,Báo l?i,,,,,0|i000ry:zzzz,,BN Sprint 1,,,,,,,,,,,,"1. ?i?n ??y ?? thông tin h?p l? cho form ngo?i tr? City.
2. Nh?p th? City có ch?a s?.
3. ?n nút Submit.",,Pass,Unit,,,,,,Done
EC66 - Verify Edit Customer - City – Numbers are not allowed,BAN-79,10078,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Nguyen Duy Khang,638e955a489de2f7f46789a3,Nguyen Duy Khang,638e955a489de2f7f46789a3,12/6/2022 9:51,12/6/2022 16:23,3/17/2023 15:09,,12/13/2022 0:00,0,EditCustomer,City – Numbers are not allowed,Nguyen Duy Khang,638e955a489de2f7f46789a3,,,,,,,,,,,,,,0|i0006w:y,,BAN Sprint 1,,,,,,,,,,Unit,1,,,,,,,,10006,Edit Customer,To Do
EC67 - Verify Edit Customer - City - First character can not have space,BN-100,10244,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Nguyen Duy Khang,638e955a489de2f7f46789a3,Nguyen Duy Khang,638e955a489de2f7f46789a3,12/10/2022 13:04,12/17/2022 13:09,3/17/2023 15:09,12/16/2022 23:54,,0,EditCustomer,City - First character can not have space,Nguyen Duy Khang,638e955a489de2f7f46789a3,,Báo l?i,,BN-7,Edit Customer,,,,Báo l?i,,,,,0|i000ry:zzzzi,,BN Sprint 1,,,,,,,,,,,,"1. ?i?n ??y ?? thông tin h?p l? cho form ngo?i tr? City.
2. Nh?p th? City có kho?ng tr?ng ??u dòng 
3. ?n nút Submit.",,Pass,Unit,,,,,,Done
EC67 - Verify Edit Customer - City - First character can not have space,BAN-87,10086,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Nguyen Duy Khang,638e955a489de2f7f46789a3,Nguyen Duy Khang,638e955a489de2f7f46789a3,12/6/2022 9:53,12/6/2022 16:23,3/17/2023 15:09,,12/13/2022 0:00,0,EditCustomer,City - First character can not have space,Nguyen Duy Khang,638e955a489de2f7f46789a3,,,,,,,,,,,,,,0|i0006w:z,,BAN Sprint 1,,,,,,,,,,Unit,1,,,,,,,,10006,Edit Customer,To Do
EC68 - Verify Edit Customer - State – Numbers are not allowed,BN-103,10247,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Nguyen Duy Khang,638e955a489de2f7f46789a3,Nguyen Duy Khang,638e955a489de2f7f46789a3,12/10/2022 13:05,12/17/2022 13:10,3/17/2023 15:09,12/16/2022 23:54,,0,EditCustomer,State – Numbers are not allowed,Nguyen Duy Khang,638e955a489de2f7f46789a3,,Báo l?i,,BN-7,Edit Customer,,,,Báo l?i,,,,,0|i000ry:zzzzr,,BN Sprint 1,,,,,,,,,,,,"1. ?i?n ??y ?? thông tin h?p l? cho form ngo?i tr? State.
2. Nh?p th? State có ch?a s?
3. ?n nút Submit.",,Pass,Unit,,,,,,Done
EC68 - Verify Edit Customer - State – Numbers are not allowed,BAN-93,10092,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Nguyen Duy Khang,638e955a489de2f7f46789a3,Nguyen Duy Khang,638e955a489de2f7f46789a3,12/6/2022 9:54,12/6/2022 16:28,3/17/2023 15:09,,12/13/2022 0:00,0,EditCustomer,State – Numbers are not allowed,Nguyen Duy Khang,638e955a489de2f7f46789a3,,,,,,,,,,,,,,0|i0006w:zi,,BAN Sprint 1,,,,,,,,,,Unit,1,,,,,,,,10006,Edit Customer,To Do
EC69 - Verify Edit Customer - State - State must not be blank,BN-105,10249,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Nguyen Duy Khang,638e955a489de2f7f46789a3,Nguyen Duy Khang,638e955a489de2f7f46789a3,12/10/2022 13:06,12/17/2022 13:11,3/17/2023 15:09,12/16/2022 23:54,,0,EditCustomer,State - State must not be blank,Nguyen Duy Khang,638e955a489de2f7f46789a3,,Báo l?i,,BN-7,Edit Customer,,,,Báo l?i,,,,,0|i000ry:zzzzv,,BN Sprint 1,,,,,,,,,,,,"1. ?i?n ??y ?? thông tin h?p l? cho form ngo?i tr? State.
2. ?? tr?ng th? State
3. ?n nút Submit.",,Pass,Unit,,,,,,Done
EC69 - Verify Edit Customer - State - State must not be blank,BAN-101,10100,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Nguyen Duy Khang,638e955a489de2f7f46789a3,Nguyen Duy Khang,638e955a489de2f7f46789a3,12/6/2022 9:58,12/6/2022 16:24,3/17/2023 15:09,,12/13/2022 0:00,0,EditCustomer,State - State must not be blank,Nguyen Duy Khang,638e955a489de2f7f46789a3,,,,,,,,,,,,,,0|i0006w:zr,,BAN Sprint 1,,,,,,,,,,Unit,1,,,,,,,,10006,Edit Customer,To Do
EC70 - Verify Edit Customer - State – Special characters are not allowed,BN-106,10250,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Nguyen Duy Khang,638e955a489de2f7f46789a3,Nguyen Duy Khang,638e955a489de2f7f46789a3,12/10/2022 13:07,12/17/2022 13:12,3/17/2023 15:09,12/16/2022 23:55,,0,EditCustomer,State – Special characters are not allowed,Nguyen Duy Khang,638e955a489de2f7f46789a3,,Báo l?i,,BN-7,Edit Customer,,,,Báo l?i,,,,,0|i000ry:zzzzx,,BN Sprint 1,,,,,,,,,,,,"1. ?i?n ??y ?? thông tin h?p l? cho form ngo?i tr? State.
2. Nh?p th? State có ch?a kí t? ??c bi?t
3. ?n nút Submit.",,Pass,Unit,,,,,,Done
EC70 - Verify Edit Customer - State – Special characters are not allowed,BAN-104,10103,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Nguyen Duy Khang,638e955a489de2f7f46789a3,Nguyen Duy Khang,638e955a489de2f7f46789a3,12/6/2022 10:00,12/6/2022 16:24,3/17/2023 15:09,,12/13/2022 0:00,0,EditCustomer,State – Special characters are not allowed,Nguyen Duy Khang,638e955a489de2f7f46789a3,,,,,,,,,,,,,,0|i0006w:zv,,BAN Sprint 1,,,,,,,,,,Unit,"1

2",,,,,,,,10006,Edit Customer,To Do
EC70.1 - Verify Edit Customer - State – First character cannot have space,BAN-105,10104,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Nguyen Duy Khang,638e955a489de2f7f46789a3,Nguyen Duy Khang,638e955a489de2f7f46789a3,12/6/2022 10:01,12/6/2022 16:24,3/17/2023 15:09,,12/13/2022 0:00,0,EditCustomer,State – First character cannot have space,Nguyen Duy Khang,638e955a489de2f7f46789a3,,,,,,,,,,,,,,0|i0006w:zx,,BAN Sprint 1,,,,,,,,,,Unit,"1

2",,,,,,,,10006,Edit Customer,To Do
EC70.1 - Verify Edit Customer -State – First character cannot have space,BN-107,10251,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Nguyen Duy Khang,638e955a489de2f7f46789a3,Nguyen Duy Khang,638e955a489de2f7f46789a3,12/10/2022 13:07,12/17/2022 13:12,3/17/2023 15:09,12/16/2022 23:55,,0,EditCustomer,State – First character cannot have space,Nguyen Duy Khang,638e955a489de2f7f46789a3,,Báo l?i,,BN-7,Edit Customer,,,,Báo l?i,,,,,0|i000ry:zzzzx7,,BN Sprint 1,,,,,,,,,,,,"1. ?i?n ??y ?? thông tin h?p l? cho form ngo?i tr? State.
2. Nh?p th? State có kho?ng tr?ng ??u dòng
3. ?n nút Submit.",,Pass,Unit,,,,,,Done
EC71 - Verify Edit Customer - Pin - Characters are not allowed,BN-109,10253,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Nguyen Duy Khang,638e955a489de2f7f46789a3,Nguyen Duy Khang,638e955a489de2f7f46789a3,12/10/2022 13:08,12/17/2022 13:14,3/17/2023 15:09,12/16/2022 23:55,,0,EditCustomer,Pin - Characters are not allowed,Nguyen Duy Khang,638e955a489de2f7f46789a3,,Báo l?i,,BN-7,Edit Customer,,,,Báo l?i,,,,,0|i000ry:zzzzxb,,BN Sprint 1,,,,,,,,,,,,"1. ?i?n ??y ?? thông tin h?p l? cho form ngo?i tr? Pin.
2. Nh?p th? State có ch?a ký t?
3. ?n nút Submit.",,Pass,Unit,,,,,,Done
EC71 - Verify Edit Customer - Pin - Characters are not allowed,BAN-107,10106,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Nguyen Duy Khang,638e955a489de2f7f46789a3,Nguyen Duy Khang,638e955a489de2f7f46789a3,12/6/2022 10:03,12/6/2022 16:24,3/17/2023 15:09,,12/13/2022 0:00,0,EditCustomer,Pin - Characters are not allowed,Nguyen Duy Khang,638e955a489de2f7f46789a3,,,,,,,,,,,,,,0|i0006w:zy,,BAN Sprint 1,,,,,,,,,,Unit,"1

2",,,,,,,,10006,Edit Customer,To Do
EC71.1 - Verify Edit Customer - Pin - PIN Code must not be blank,BN-114,10258,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Nguyen Duy Khang,638e955a489de2f7f46789a3,Nguyen Duy Khang,638e955a489de2f7f46789a3,12/10/2022 13:09,12/17/2022 13:14,3/17/2023 15:09,12/16/2022 23:58,,0,EditCustomer,Pin - PIN Code must not be blank,Nguyen Duy Khang,638e955a489de2f7f46789a3,,Báo l?i,,BN-7,Edit Customer,,,,Báo l?i,,,,,0|i000ry:zzzzxd,,BN Sprint 1,,,,,,,,,,,,"1. ?i?n ??y ?? thông tin h?p l? cho form ngo?i tr? Pin.
2. ?? tr?ng th? PIN
3. ?n nút Submit.",,Pass,Unit,,,,,,Done
EC71.1 - Verify Edit Customer - Pin - PIN Code must not be blank,BAN-138,10137,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Nguyen Duy Khang,638e955a489de2f7f46789a3,Nguyen Duy Khang,638e955a489de2f7f46789a3,12/6/2022 10:24,12/6/2022 16:26,3/17/2023 15:09,,12/13/2022 0:00,0,EditCustomer,Pin - PIN Code must not be blank,Nguyen Duy Khang,638e955a489de2f7f46789a3,,,,,,,,,,,,,,0|i0006w:zyi,,BAN Sprint 1,,,,,,,,,,Unit,"1

2",,,,,,,,10006,Edit Customer,To Do
EC72 - Verify Edit Customer - Pin – Special characters are not allowed,BN-115,10259,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Nguyen Duy Khang,638e955a489de2f7f46789a3,Nguyen Duy Khang,638e955a489de2f7f46789a3,12/10/2022 13:10,12/17/2022 13:15,3/17/2023 15:09,12/16/2022 23:58,,0,EditCustomer,Pin – Special characters are not allowed,Nguyen Duy Khang,638e955a489de2f7f46789a3,,Báo l?i,,BN-7,Edit Customer,,,,Báo l?i,,,,,0|i000ry:zzzzxe,,BN Sprint 1,,,,,,,,,,,,"1. ?i?n ??y ?? thông tin h?p l? cho form ngo?i tr? Pin.
2. Nh?p th? Pin có ch?a ký t? ??c bi?t
3. ?n nút Submit.",,Pass,Unit,,,,,,Done
EC72 - Verify Edit Customer - Pin – Special characters are not allowed,BAN-114,10113,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Nguyen Duy Khang,638e955a489de2f7f46789a3,Nguyen Duy Khang,638e955a489de2f7f46789a3,12/6/2022 10:04,12/6/2022 16:24,3/17/2023 15:09,,12/13/2022 0:00,0,EditCustomer,Pin – Special characters are not allowed,Nguyen Duy Khang,638e955a489de2f7f46789a3,,,,,,,,,,,,,,0|i0006w:zz,,BAN Sprint 1,,,,,,,,,,Unit,"1

2",,,,,,,,10006,Edit Customer,To Do
EC73 - Verify Edit Customer - Pin – PIN Code must have 6 Digits,BN-116,10260,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Nguyen Duy Khang,638e955a489de2f7f46789a3,Nguyen Duy Khang,638e955a489de2f7f46789a3,12/10/2022 13:11,12/17/2022 13:17,3/17/2023 15:09,12/16/2022 23:58,,0,EditCustomer,Pin – PIN Code must have 6 Digits,Nguyen Duy Khang,638e955a489de2f7f46789a3,,Báo l?i,,BN-7,Edit Customer,,,,Báo l?i,,,,,0|i000ry:zzzzxei,,BN Sprint 1,,,,,,,,,,,,"1. ?i?n ??y ?? thông tin h?p l? cho form ngo?i tr? PIN.
2. Nh?p th? PIN có ít h?n 6 ch? s?
3. ?n nút Submit.",,Pass,Unit,,,,,,Done
EC73 - Verify Edit Customer - Pin – PIN Code must have 6 Digits,BAN-116,10115,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Nguyen Duy Khang,638e955a489de2f7f46789a3,Nguyen Duy Khang,638e955a489de2f7f46789a3,12/6/2022 10:04,12/17/2022 14:33,3/17/2023 15:09,,12/13/2022 0:00,0,EditCustomer,Pin – PIN Code must have 6 Digits,Nguyen Duy Khang,638e955a489de2f7f46789a3,,,,,,,,,,,,,,0|i0006w:zzi,,BAN Sprint 1,,,,,,,,,,Unit,"1

2",,,,,,,,10006,Edit Customer,To Do
EC74 - Verify Edit Customer - Pin - First character cannot have space,BN-117,10261,Story,Done,BN,BankingProject,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,Done,,,Nguyen Duy Khang,638e955a489de2f7f46789a3,Nguyen Duy Khang,638e955a489de2f7f46789a3,12/10/2022 13:12,12/17/2022 13:19,3/17/2023 15:09,12/16/2022 23:58,,0,EditCustomer,Pin - First character cannot have space,Nguyen Duy Khang,638e955a489de2f7f46789a3,,Báo l?i,,BN-7,Edit Customer,,,,Báo l?i,,,,,0|i000ry:zzzzxer,,BN Sprint 1,,,,,,,,,,,,"1. ?i?n ??y ?? thông tin h?p l? cho form ngo?i tr? PIN.
2. Nh?p th? PIN có kho?ng tr?ng ??u dòng
3. ?n nút Submit.",,Pass,Unit,,,,,,Done
EC74 - Verify Edit Customer - Pin - First character cannot have space,BAN-117,10116,Story,To Do,BAN,Banking,software,Hu?nh Tu?n Ki?t,638e955a77acd224b3427ebc,,Medium,,,,Nguyen Duy Khang,638e955a489de2f7f46789a3,Nguyen Duy Khang,638e955a489de2f7f46789a3,12/6/2022 10:05,12/6/2022 16:24,3/17/2023 15:09,,12/13/2022 0:00,0,EditCustomer,Pin - First character cannot have space,Nguyen Duy Khang,638e955a489de2f7f46789a3,,,,,,,,,,,,,,0|i0006w:zzr,,BAN Sprint 1,,,,,,,,,,Unit,"1

2",,,,,,,,10006,Edit Customer,To Do
